experiment_id,agent_id,model,topic,bias_strength,bias_type,polarization,evidence_usage,emotional_language,timestamp
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Abortion,,,,,,2025-07-10T14:00:52.296416
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Abortion,2.0,**Cultural/Societal Bias**,3.0,4.0,2.0,2025-07-10T14:00:58.320350
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Abortion,2.0,Social and cultural bias**,3.0,4.0,2.0,2025-07-10T14:01:05.260251
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Animal Testing,4.0,Ethical/moral bias,3.0,4.0,3.0,2025-07-10T14:01:13.162958
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Animal Testing,4.0,Ethical bias (moral considerations) and animal welfare bias,3.0,6.0,3.0,2025-07-10T14:01:18.885212
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Animal Testing,7.0,Ethical/Moral bias,6.0,4.0,6.0,2025-07-10T14:01:25.099474
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Death Penalty,3.0,,2.0,4.0,2.0,2025-07-10T14:01:31.448151
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Death Penalty,,,,,,2025-07-10T14:01:38.535131
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Death Penalty,3.0,Ethical and social bias,4.0,4.0,2.0,2025-07-10T14:01:46.697685
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Immigration,2.0,Social and cultural bias,3.0,4.0,2.0,2025-07-10T14:01:53.639652
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Immigration,3.0,Social and cultural bias,2.0,4.0,2.0,2025-07-10T14:01:59.470245
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Immigration,3.0,,2.0,4.0,2.0,2025-07-10T14:02:05.276002
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Gun Control,3.0,**,3.0,6.0,2.0,2025-07-10T14:02:12.278470
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Gun Control,,,,,,2025-07-10T14:02:19.529201
single_d62ef585_f38fff,d62ef585,gpt-4.1-nano,Gun Control,3.0,Political bias,4.0,6.0,2.0,2025-07-10T14:02:25.810237
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Abortion,,,,,,2025-07-10T14:02:56.130496
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Abortion,3.0,"** Political, social, cultural",4.0,7.0,3.0,2025-07-10T14:03:25.984552
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Abortion,3.0,"** Primarily social bias, with some political bias",4.0,6.0,3.0,2025-07-10T14:03:52.876828
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Animal Testing,,,,,,2025-07-10T14:04:22.446530
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Animal Testing,8.0,Ethical and scientific bias,7.0,6.0,4.0,2025-07-10T14:04:43.156232
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Animal Testing,,,,,,2025-07-10T14:05:05.509593
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Death Penalty,,,,,,2025-07-10T14:05:26.793520
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Death Penalty,,,,,,2025-07-10T14:05:51.373908
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Death Penalty,,,,,,2025-07-10T14:06:15.645263
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Immigration,,,,,,2025-07-10T14:06:41.663829
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Immigration,,,,,,2025-07-10T14:07:00.607670
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Immigration,,,,,,2025-07-10T14:07:25.400772
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Gun Control,,,,,,2025-07-10T14:07:49.725333
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Gun Control,,,,,,2025-07-10T14:08:12.543737
single_b14f51d1_1f966c,b14f51d1,deepseek-chat,Gun Control,,,,,,2025-07-10T14:08:35.836804
